F,Location Description,D,Location Name,Street Start,Street End,Enforcement Hours,Enforcement Days,Position,Route,Notes,LOCATION ID,Video Timestamp,Ryan QC
,EB Wilshire Blvd @ S New Hampshire Ave,EB,Wilshire Blvd,S New Hampshire Ave,Vermont Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ S New Hampshire Ave|7,9,16,19|12345|BD",EB 720_4.MP4 5:16,x
,EB Wilshire Blvd @ Vermont Ave,EB,Wilshire Blvd,Vermont Ave,Shatto Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Vermont Ave|7,9,16,19|12345|BD",EB 720_4.MP4 5:26,x
,EB Wilshire Blvd @ Shatto Pl,EB,Wilshire Blvd,Shatto Pl,Westmoreland Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Shatto Pl|7,9,16,19|12345|BD",EB 720_4.MP4 5:41,x
,EB Wilshire Blvd @ Westmoreland Ave,EB,Wilshire Blvd,Westmoreland Ave,Wilshire Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Westmoreland Ave|7,9,16,19|12345|BD",EB 720_4.MP4 6:46,x
,EB Wilshire Blvd @ Wilshire Pl,EB,Wilshire Blvd,Wilshire Pl,Virgil,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,"No sign, used previous block days/times","EB|Wilshire Blvd @ Wilshire Pl|7,9,16,19|12345|BD",EB 720_4.MP4 6:59,x
,EB Wilshire Blvd @ Virgil,EB,Wilshire Blvd,Virgil,Commonwealth Ave,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,"No sign, used previous block days/times","EB|Wilshire Blvd @ Virgil|7,9,16,19|12345|BD",EB 720_4.MP4 7:08,x
,EB Wilshire Blvd @ Commonwealth Ave,EB,Wilshire Blvd,Commonwealth Ave,Hoover St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,"No sign, used previous block days/times","EB|Wilshire Blvd @ Commonwealth Ave|7,9,16,19|12345|BD",EB 720_4.MP4 7:21,x
,EB Wilshire Blvd @ Hoover St,EB,Wilshire Blvd,Hoover St,La Fayette Parkk Pl,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Hoover St|7,9,16,19|12345|BD",EB 720_4.MP4 7:33,x
,EB Wilshire Blvd @ La Fayette Parkk Pl,EB,Wilshire Blvd,La Fayette Parkk Pl,Rampart Blvd,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ La Fayette Parkk Pl|7,9,16,19|12345|BD",EB 720_4.MP4 7:40,x
,EB Wilshire Blvd @ Rampart Blvd,EB,Wilshire Blvd,Rampart Blvd,Coronado St,"7AM - 9AM, 4PM - 7PM","Mon, Tue, Wed, Thu, Fri",Curb,720,,"EB|Wilshire Blvd @ Rampart Blvd|7,9,16,19|12345|BD",EB 720_4.MP4 7:51,x
